¡	&iexcl;	&#x000A1;	&#161;	INVERTED EXCLAMATION MARK
⪓	&lesges;	&#x02A93;	&#10899;	LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL
⪔	&gesles;	&#x02A94;	&#10900;	GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL
⪕	&els; &eqslantless;	&#x02A95;	&#10901;	SLANTED EQUAL TO OR LESS-THAN
⪖	&egs; &eqslantgtr;	&#x02A96;	&#10902;	SLANTED EQUAL TO OR GREATER-THAN
⪗	&elsdot;	&#x02A97;	&#10903;	SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE
⪘	&egsdot;	&#x02A98;	&#10904;	SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE
⪙	&el;	&#x02A99;	&#10905;	DOUBLE-LINE EQUAL TO OR LESS-THAN
⪚	&eg;	&#x02A9A;	&#10906;	DOUBLE-LINE EQUAL TO OR GREATER-THAN
⪝	&siml;	&#x02A9D;	&#10909;	SIMILAR OR LESS-THAN
⪞	&simg;	&#x02A9E;	&#10910;	SIMILAR OR GREATER-THAN
⪟	&simlE;	&#x02A9F;	&#10911;	SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN
⪠	&simgE;	&#x02AA0;	&#10912;	SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN
⪡	&LessLess;	&#x02AA1;	&#10913;	DOUBLE NESTED LESS-THAN
⪢	&GreaterGreater;	&#x02AA2;	&#10914;	DOUBLE NESTED GREATER-THAN
⪤	&glj;	&#x02AA4;	&#10916;	GREATER-THAN OVERLAPPING LESS-THAN
⪥	&gla;	&#x02AA5;	&#10917;	GREATER-THAN BESIDE LESS-THAN
⪦	&ltcc;	&#x02AA6;	&#10918;	LESS-THAN CLOSED BY CURVE
⪧	&gtcc;	&#x02AA7;	&#10919;	GREATER-THAN CLOSED BY CURVE
⪨	&lescc;	&#x02AA8;	&#10920;	LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
⪩	&gescc;	&#x02AA9;	&#10921;	GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
⪪	&smt;	&#x02AAA;	&#10922;	SMALLER THAN
⪫	&lat;	&#x02AAB;	&#10923;	LARGER THAN
⪬	&smte;	&#x02AAC;	&#10924;	SMALLER THAN OR EQUAL TO
⪭	&late;	&#x02AAD;	&#10925;	LARGER THAN OR EQUAL TO
⪮	&bumpE;	&#x02AAE;	&#10926;	EQUALS SIGN WITH BUMPY ABOVE
⪯	&pre; &preceq; &PrecedesEqual;	&#x02AAF;	&#10927;	PRECEDES ABOVE SINGLE-LINE EQUALS SIGN
⪰	&sce; &succeq; &SucceedsEqual;	&#x02AB0;	&#10928;	SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN
⪳	&prE;	&#x02AB3;	&#10931;	PRECEDES ABOVE EQUALS SIGN
⪴	&scE;	&#x02AB4;	&#10932;	SUCCEEDS ABOVE EQUALS SIGN
⪵	&prnE; &precneqq;	&#x02AB5;	&#10933;	PRECEDES ABOVE NOT EQUAL TO
⪶	&scnE; &succneqq;	&#x02AB6;	&#10934;	SUCCEEDS ABOVE NOT EQUAL TO
⪷	&prap; &precapprox;	&#x02AB7;	&#10935;	PRECEDES ABOVE ALMOST EQUAL TO
⪸	&scap; &succapprox;	&#x02AB8;	&#10936;	SUCCEEDS ABOVE ALMOST EQUAL TO
⪹	&prnap; &precnapprox;	&#x02AB9;	&#10937;	PRECEDES ABOVE NOT ALMOST EQUAL TO
⪺	&scnap; &succnapprox;	&#x02ABA;	&#10938;	SUCCEEDS ABOVE NOT ALMOST EQUAL TO
⪻	&Pr;	&#x02ABB;	&#10939;	DOUBLE PRECEDES
⪼	&Sc;	&#x02ABC;	&#10940;	DOUBLE SUCCEEDS
⪽	&subdot;	&#x02ABD;	&#10941;	SUBSET WITH DOT
⪾	&supdot;	&#x02ABE;	&#10942;	SUPERSET WITH DOT
⪿	&subplus;	&#x02ABF;	&#10943;	SUBSET WITH PLUS SIGN BELOW
⫀	&supplus;	&#x02AC0;	&#10944;	SUPERSET WITH PLUS SIGN BELOW
⫁	&submult;	&#x02AC1;	&#10945;	SUBSET WITH MULTIPLICATION SIGN BELOW
⫂	&supmult;	&#x02AC2;	&#10946;	SUPERSET WITH MULTIPLICATION SIGN BELOW
⫃	&subedot;	&#x02AC3;	&#10947;	SUBSET OF OR EQUAL TO WITH DOT ABOVE
⫄	&supedot;	&#x02AC4;	&#10948;	SUPERSET OF OR EQUAL TO WITH DOT ABOVE
⫅	&subE; &subseteqq;	&#x02AC5;	&#10949;	SUBSET OF ABOVE EQUALS SIGN
⫆	&supE; &supseteqq;	&#x02AC6;	&#10950;	SUPERSET OF ABOVE EQUALS SIGN
⫇	&subsim;	&#x02AC7;	&#10951;	SUBSET OF ABOVE TILDE OPERATOR
⫈	&supsim;	&#x02AC8;	&#10952;	SUPERSET OF ABOVE TILDE OPERATOR
⫋	&subnE; &subsetneqq;	&#x02ACB;	&#10955;	SUBSET OF ABOVE NOT EQUAL TO
⫌	&supnE; &supsetneqq;	&#x02ACC;	&#10956;	SUPERSET OF ABOVE NOT EQUAL TO
⫏	&csub;	&#x02ACF;	&#10959;	CLOSED SUBSET
⫐	&csup;	&#x02AD0;	&#10960;	CLOSED SUPERSET
⫑	&csube;	&#x02AD1;	&#10961;	CLOSED SUBSET OR EQUAL TO
⫒	&csupe;	&#x02AD2;	&#10962;	CLOSED SUPERSET OR EQUAL TO
⫓	&subsup;	&#x02AD3;	&#10963;	SUBSET ABOVE SUPERSET
⫔	&supsub;	&#x02AD4;	&#10964;	SUPERSET ABOVE SUBSET
⫕	&subsub;	&#x02AD5;	&#10965;	SUBSET ABOVE SUBSET
⫖	&supsup;	&#x02AD6;	&#10966;	SUPERSET ABOVE SUPERSET
⫗	&suphsub;	&#x02AD7;	&#10967;	SUPERSET BESIDE SUBSET
⫘	&supdsub;	&#x02AD8;	&#10968;	SUPERSET BESIDE AND JOINED BY DASH WITH SUBSET
⫙	&forkv;	&#x02AD9;	&#10969;	ELEMENT OF OPENING DOWNWARDS
⫚	&topfork;	&#x02ADA;	&#10970;	PITCHFORK WITH TEE TOP
⫛	&mlcp;	&#x02ADB;	&#10971;	TRANSVERSAL INTERSECTION
⫤	&Dashv; &DoubleLeftTee;	&#x02AE4;	&#10980;	VERTICAL BAR DOUBLE LEFT TURNSTILE
⫦	&Vdashl;	&#x02AE6;	&#10982;	LONG DASH FROM LEFT MEMBER OF DOUBLE VERTICAL
⫧	&Barv;	&#x02AE7;	&#10983;	SHORT DOWN TACK WITH OVERBAR
⫨	&vBar;	&#x02AE8;	&#10984;	SHORT UP TACK WITH UNDERBAR
⫩	&vBarv;	&#x02AE9;	&#10985;	SHORT UP TACK ABOVE SHORT DOWN TACK
⫫	&Vbar;	&#x02AEB;	&#10987;	DOUBLE UP TACK
⫬	&Not;	&#x02AEC;	&#10988;	DOUBLE STROKE NOT SIGN
⫭	&bNot;	&#x02AED;	&#10989;	REVERSED DOUBLE STROKE NOT SIGN
⫮	&rnmid;	&#x02AEE;	&#10990;	DOES NOT DIVIDE WITH REVERSED NEGATION SLASH
⫯	&cirmid;	&#x02AEF;	&#10991;	VERTICAL LINE WITH CIRCLE ABOVE
⫰	&midcir;	&#x02AF0;	&#10992;	VERTICAL LINE WITH CIRCLE BELOW
⫱	&topcir;	&#x02AF1;	&#10993;	DOWN TACK WITH CIRCLE BELOW
⫲	&nhpar;	&#x02AF2;	&#10994;	PARALLEL WITH HORIZONTAL STROKE
⫳	&parsim;	&#x02AF3;	&#10995;	PARALLEL WITH TILDE OPERATOR
⫽	&parsl;	&#x02AFD;	&#11005;	DOUBLE SOLIDUS OPERATOR
ﬀ	&fflig;	&#x0FB00;	&#64256;	LATIN SMALL LIGATURE FF
ﬁ	&filig;	&#x0FB01;	&#64257;	LATIN SMALL LIGATURE FI
ﬂ	&fllig;	&#x0FB02;	&#64258;	LATIN SMALL LIGATURE FL
ﬃ	&ffilig;	&#x0FB03;	&#64259;	LATIN SMALL LIGATURE FFI
ﬄ	&ffllig;	&#x0FB04;	&#64260;	LATIN SMALL LIGATURE FFL
𝒜	&Ascr;	&#x1D49C;	&#119964;	MATHEMATICAL SCRIPT CAPITAL A
𝒞	&Cscr;	&#x1D49E;	&#119966;	MATHEMATICAL SCRIPT CAPITAL C
𝒟	&Dscr;	&#x1D49F;	&#119967;	MATHEMATICAL SCRIPT CAPITAL D
𝒢	&Gscr;	&#x1D4A2;	&#119970;	MATHEMATICAL SCRIPT CAPITAL G
𝒥	&Jscr;	&#x1D4A5;	&#119973;	MATHEMATICAL SCRIPT CAPITAL J
𝒦	&Kscr;	&#x1D4A6;	&#119974;	MATHEMATICAL SCRIPT CAPITAL K
𝒩	&Nscr;	&#x1D4A9;	&#119977;	MATHEMATICAL SCRIPT CAPITAL N
𝒪	&Oscr;	&#x1D4AA;	&#119978;	MATHEMATICAL SCRIPT CAPITAL O
𝒫	&Pscr;	&#x1D4AB;	&#119979;	MATHEMATICAL SCRIPT CAPITAL P
𝒬	&Qscr;	&#x1D4AC;	&#119980;	MATHEMATICAL SCRIPT CAPITAL Q
𝒮	&Sscr;	&#x1D4AE;	&#119982;	MATHEMATICAL SCRIPT CAPITAL S
𝒯	&Tscr;	&#x1D4AF;	&#119983;	MATHEMATICAL SCRIPT CAPITAL T
𝒰	&Uscr;	&#x1D4B0;	&#119984;	MATHEMATICAL SCRIPT CAPITAL U
𝒱	&Vscr;	&#x1D4B1;	&#119985;	MATHEMATICAL SCRIPT CAPITAL V
𝒲	&Wscr;	&#x1D4B2;	&#119986;	MATHEMATICAL SCRIPT CAPITAL W
𝒳	&Xscr;	&#x1D4B3;	&#119987;	MATHEMATICAL SCRIPT CAPITAL X
𝒴	&Yscr;	&#x1D4B4;	&#119988;	MATHEMATICAL SCRIPT CAPITAL Y
𝒵	&Zscr;	&#x1D4B5;	&#119989;	MATHEMATICAL SCRIPT CAPITAL Z
𝒶	&ascr;	&#x1D4B6;	&#119990;	MATHEMATICAL SCRIPT SMALL A
𝒷	&bscr;	&#x1D4B7;	&#119991;	MATHEMATICAL SCRIPT SMALL B
𝒸	&cscr;	&#x1D4B8;	&#119992;	MATHEMATICAL SCRIPT SMALL C
𝒹	&dscr;	&#x1D4B9;	&#119993;	MATHEMATICAL SCRIPT SMALL D
𝒻	&fscr;	&#x1D4BB;	&#119995;	MATHEMATICAL SCRIPT SMALL F
𝒽	&hscr;	&#x1D4BD;	&#119997;	MATHEMATICAL SCRIPT SMALL H
𝒾	&iscr;	&#x1D4BE;	&#119998;	MATHEMATICAL SCRIPT SMALL I
𝒿	&jscr;	&#x1D4BF;	&#119999;	MATHEMATICAL SCRIPT SMALL J
𝓀	&kscr;	&#x1D4C0;	&#120000;	MATHEMATICAL SCRIPT SMALL K
𝓁	&lscr;	&#x1D4C1;	&#120001;	MATHEMATICAL SCRIPT SMALL L
𝓂	&mscr;	&#x1D4C2;	&#120002;	MATHEMATICAL SCRIPT SMALL M
𝓃	&nscr;	&#x1D4C3;	&#120003;	MATHEMATICAL SCRIPT SMALL N
𝓅	&pscr;	&#x1D4C5;	&#120005;	MATHEMATICAL SCRIPT SMALL P
𝓆	&qscr;	&#x1D4C6;	&#120006;	MATHEMATICAL SCRIPT SMALL Q
𝓇	&rscr;	&#x1D4C7;	&#120007;	MATHEMATICAL SCRIPT SMALL R
𝓈	&sscr;	&#x1D4C8;	&#120008;	MATHEMATICAL SCRIPT SMALL S
𝓉	&tscr;	&#x1D4C9;	&#120009;	MATHEMATICAL SCRIPT SMALL T
𝓊	&uscr;	&#x1D4CA;	&#120010;	MATHEMATICAL SCRIPT SMALL U
𝓋	&vscr;	&#x1D4CB;	&#120011;	MATHEMATICAL SCRIPT SMALL V
𝓌	&wscr;	&#x1D4CC;	&#120012;	MATHEMATICAL SCRIPT SMALL W
𝓍	&xscr;	&#x1D4CD;	&#120013;	MATHEMATICAL SCRIPT SMALL X
𝓎	&yscr;	&#x1D4CE;	&#120014;	MATHEMATICAL SCRIPT SMALL Y
𝓏	&zscr;	&#x1D4CF;	&#120015;	MATHEMATICAL SCRIPT SMALL Z
𝔄	&Afr;	&#x1D504;	&#120068;	MATHEMATICAL FRAKTUR CAPITAL A
𝔅	&Bfr;	&#x1D505;	&#120069;	MATHEMATICAL FRAKTUR CAPITAL B
𝔇	&Dfr;	&#x1D507;	&#120071;	MATHEMATICAL FRAKTUR CAPITAL D
𝔈	&Efr;	&#x1D508;	&#120072;	MATHEMATICAL FRAKTUR CAPITAL E
𝔉	&Ffr;	&#x1D509;	&#120073;	MATHEMATICAL FRAKTUR CAPITAL F
𝔊	&Gfr;	&#x1D50A;	&#120074;	MATHEMATICAL FRAKTUR CAPITAL G
𝔍	&Jfr;	&#x1D50D;	&#120077;	MATHEMATICAL FRAKTUR CAPITAL J
𝔎	&Kfr;	&#x1D50E;	&#120078;	MATHEMATICAL FRAKTUR CAPITAL K
𝔏	&Lfr;	&#x1D50F;	&#120079;	MATHEMATICAL FRAKTUR CAPITAL L
𝔐	&Mfr;	&#x1D510;	&#120080;	MATHEMATICAL FRAKTUR CAPITAL M
𝔑	&Nfr;	&#x1D511;	&#120081;	MATHEMATICAL FRAKTUR CAPITAL N
𝔒	&Ofr;	&#x1D512;	&#120082;	MATHEMATICAL FRAKTUR CAPITAL O
𝔓	&Pfr;	&#x1D513;	&#120083;	MATHEMATICAL FRAKTUR CAPITAL P
𝔔	&Qfr;	&#x1D514;	&#120084;	MATHEMATICAL FRAKTUR CAPITAL Q
𝔖	&Sfr;	&#x1D516;	&#120086;	MATHEMATICAL FRAKTUR CAPITAL S
𝔗	&Tfr;	&#x1D517;	&#120087;	MATHEMATICAL FRAKTUR CAPITAL T
𝔘	&Ufr;	&#x1D518;	&#120088;	MATHEMATICAL FRAKTUR CAPITAL U
𝔙	&Vfr;	&#x1D519;	&#120089;	MATHEMATICAL FRAKTUR CAPITAL V
𝔚	&Wfr;	&#x1D51A;	&#120090;	MATHEMATICAL FRAKTUR CAPITAL W
𝔛	&Xfr;	&#x1D51B;	&#120091;	MATHEMATICAL FRAKTUR CAPITAL X
𝔜	&Yfr;	&#x1D51C;	&#120092;	MATHEMATICAL FRAKTUR CAPITAL Y
𝔞	&afr;	&#x1D51E;	&#120094;	MATHEMATICAL FRAKTUR SMALL A
𝔟	&bfr;	&#x1D51F;	&#120095;	MATHEMATICAL FRAKTUR SMALL B
𝔠	&cfr;	&#x1D520;	&#120096;	MATHEMATICAL FRAKTUR SMALL C
𝔡	&dfr;	&#x1D521;	&#120097;	MATHEMATICAL FRAKTUR SMALL D
𝔢	&efr;	&#x1D522;	&#120098;	MATHEMATICAL FRAKTUR SMALL E
𝔣	&ffr;	&#x1D523;	&#120099;	MATHEMATICAL FRAKTUR SMALL F
𝔤	&gfr;	&#x1D524;	&#120100;	MATHEMATICAL FRAKTUR SMALL G
𝔥	&hfr;	&#x1D525;	&#120101;	MATHEMATICAL FRAKTUR SMALL H
𝔦	&ifr;	&#x1D526;	&#120102;	MATHEMATICAL FRAKTUR SMALL I
𝔧	&jfr;	&#x1D527;	&#120103;	MATHEMATICAL FRAKTUR SMALL J
𝔨	&kfr;	&#x1D528;	&#120104;	MATHEMATICAL FRAKTUR SMALL K
𝔩	&lfr;	&#x1D529;	&#120105;	MATHEMATICAL FRAKTUR SMALL L
𝔪	&mfr;	&#x1D52A;	&#120106;	MATHEMATICAL FRAKTUR SMALL M
𝔫	&nfr;	&#x1D52B;	&#120107;	MATHEMATICAL FRAKTUR SMALL N
𝔬	&ofr;	&#x1D52C;	&#120108;	MATHEMATICAL FRAKTUR SMALL O
𝔭	&pfr;	&#x1D52D;	&#120109;	MATHEMATICAL FRAKTUR SMALL P
𝔮	&qfr;	&#x1D52E;	&#120110;	MATHEMATICAL FRAKTUR SMALL Q
𝔯	&rfr;	&#x1D52F;	&#120111;	MATHEMATICAL FRAKTUR SMALL R
𝔰	&sfr;	&#x1D530;	&#120112;	MATHEMATICAL FRAKTUR SMALL S
𝔱	&tfr;	&#x1D531;	&#120113;	MATHEMATICAL FRAKTUR SMALL T
𝔲	&ufr;	&#x1D532;	&#120114;	MATHEMATICAL FRAKTUR SMALL U
𝔳	&vfr;	&#x1D533;	&#120115;	MATHEMATICAL FRAKTUR SMALL V
𝔴	&wfr;	&#x1D534;	&#120116;	MATHEMATICAL FRAKTUR SMALL W
𝔵	&xfr;	&#x1D535;	&#120117;	MATHEMATICAL FRAKTUR SMALL X
𝔶	&yfr;	&#x1D536;	&#120118;	MATHEMATICAL FRAKTUR SMALL Y
𝔷	&zfr;	&#x1D537;	&#120119;	MATHEMATICAL FRAKTUR SMALL Z
𝔸	&Aopf;	&#x1D538;	&#120120;	MATHEMATICAL DOUBLE-STRUCK CAPITAL A
𝔹	&Bopf;	&#x1D539;	&#120121;	MATHEMATICAL DOUBLE-STRUCK CAPITAL B
𝔻	&Dopf;	&#x1D53B;	&#120123;	MATHEMATICAL DOUBLE-STRUCK CAPITAL D
𝔼	&Eopf;	&#x1D53C;	&#120124;	MATHEMATICAL DOUBLE-STRUCK CAPITAL E
𝔽	&Fopf;	&#x1D53D;	&#120125;	MATHEMATICAL DOUBLE-STRUCK CAPITAL F
𝔾	&Gopf;	&#x1D53E;	&#120126;	MATHEMATICAL DOUBLE-STRUCK CAPITAL G
𝕀	&Iopf;	&#x1D540;	&#120128;	MATHEMATICAL DOUBLE-STRUCK CAPITAL I
𝕁	&Jopf;	&#x1D541;	&#120129;	MATHEMATICAL DOUBLE-STRUCK CAPITAL J
𝕂	&Kopf;	&#x1D542;	&#120130;	MATHEMATICAL DOUBLE-STRUCK CAPITAL K
𝕃	&Lopf;	&#x1D543;	&#120131;	MATHEMATICAL DOUBLE-STRUCK CAPITAL L
𝕄	&Mopf;	&#x1D544;	&#120132;	MATHEMATICAL DOUBLE-STRUCK CAPITAL M
𝕆	&Oopf;	&#x1D546;	&#120134;	MATHEMATICAL DOUBLE-STRUCK CAPITAL O
𝕊	&Sopf;	&#x1D54A;	&#120138;	MATHEMATICAL DOUBLE-STRUCK CAPITAL S
𝕋	&Topf;	&#x1D54B;	&#120139;	MATHEMATICAL DOUBLE-STRUCK CAPITAL T
𝕌	&Uopf;	&#x1D54C;	&#120140;	MATHEMATICAL DOUBLE-STRUCK CAPITAL U
𝕍	&Vopf;	&#x1D54D;	&#120141;	MATHEMATICAL DOUBLE-STRUCK CAPITAL V
𝕎	&Wopf;	&#x1D54E;	&#120142;	MATHEMATICAL DOUBLE-STRUCK CAPITAL W
𝕏	&Xopf;	&#x1D54F;	&#120143;	MATHEMATICAL DOUBLE-STRUCK CAPITAL X
𝕐	&Yopf;	&#x1D550;	&#120144;	MATHEMATICAL DOUBLE-STRUCK CAPITAL Y
𝕒	&aopf;	&#x1D552;	&#120146;	MATHEMATICAL DOUBLE-STRUCK SMALL A
𝕓	&bopf;	&#x1D553;	&#120147;	MATHEMATICAL DOUBLE-STRUCK SMALL B
𝕔	&copf;	&#x1D554;	&#120148;	MATHEMATICAL DOUBLE-STRUCK SMALL C
𝕕	&dopf;	&#x1D555;	&#120149;	MATHEMATICAL DOUBLE-STRUCK SMALL D
𝕖	&eopf;	&#x1D556;	&#120150;	MATHEMATICAL DOUBLE-STRUCK SMALL E
𝕗	&fopf;	&#x1D557;	&#120151;	MATHEMATICAL DOUBLE-STRUCK SMALL F
𝕘	&gopf;	&#x1D558;	&#120152;	MATHEMATICAL DOUBLE-STRUCK SMALL G
𝕙	&hopf;	&#x1D559;	&#120153;	MATHEMATICAL DOUBLE-STRUCK SMALL H
𝕚	&iopf;	&#x1D55A;	&#120154;	MATHEMATICAL DOUBLE-STRUCK SMALL I
𝕛	&jopf;	&#x1D55B;	&#120155;	MATHEMATICAL DOUBLE-STRUCK SMALL J
𝕜	&kopf;	&#x1D55C;	&#120156;	MATHEMATICAL DOUBLE-STRUCK SMALL K
𝕝	&lopf;	&#x1D55D;	&#120157;	MATHEMATICAL DOUBLE-STRUCK SMALL L
𝕞	&mopf;	&#x1D55E;	&#120158;	MATHEMATICAL DOUBLE-STRUCK SMALL M
𝕟	&nopf;	&#x1D55F;	&#120159;	MATHEMATICAL DOUBLE-STRUCK SMALL N
𝕠	&oopf;	&#x1D560;	&#120160;	MATHEMATICAL DOUBLE-STRUCK SMALL O
𝕡	&popf;	&#x1D561;	&#120161;	MATHEMATICAL DOUBLE-STRUCK SMALL P
𝕢	&qopf;	&#x1D562;	&#120162;	MATHEMATICAL DOUBLE-STRUCK SMALL Q
𝕣	&ropf;	&#x1D563;	&#120163;	MATHEMATICAL DOUBLE-STRUCK SMALL R
𝕤	&sopf;	&#x1D564;	&#120164;	MATHEMATICAL DOUBLE-STRUCK SMALL S
𝕥	&topf;	&#x1D565;	&#120165;	MATHEMATICAL DOUBLE-STRUCK SMALL T
𝕦	&uopf;	&#x1D566;	&#120166;	MATHEMATICAL DOUBLE-STRUCK SMALL U
𝕧	&vopf;	&#x1D567;	&#120167;	MATHEMATICAL DOUBLE-STRUCK SMALL V
𝕨	&wopf;	&#x1D568;	&#120168;	MATHEMATICAL DOUBLE-STRUCK SMALL W
𝕩	&xopf;	&#x1D569;	&#120169;	MATHEMATICAL DOUBLE-STRUCK SMALL X
𝕪	&yopf;	&#x1D56A;	&#120170;	MATHEMATICAL DOUBLE-STRUCK SMALL Y
𝕫	&zopf;	&#x1D56B;	&#120171;	MATHEMATICAL DOUBLE-STRUCK SMALL Z
